year_state,State,Yearcode,Country,State.lgd.code,Year,SDP,Gini,StateGini,year_state_GWL,election_margin,party_count,percent_women_elected,population_density,rainfall
2020west bengal,west bengal,2020,India,19,"Calendar Year (Jan - Dec), 2020",1094471,0.22,0.312,4.482121212,30,4,28.57142857,1029,376.6
2021andhra pradesh,andhra pradesh,2021,India,28,"Calendar Year (Jan - Dec), 2021",661432,0.28,0.27,8.077979235,5,5,7.142857143,308,146.2
2021arunachal pradesh,arunachal pradesh,2021,India,12,"Calendar Year (Jan - Dec), 2021",NA,0.3,0.306,5.33,0,2,0,17,56.2
2021assam,assam,2021,India,18,"Calendar Year (Jan - Dec), 2021",NA,0.27,0.289,2.8615625,4,4,14.28571429,397,125
2021bihar,bihar,2021,India,10,"Calendar Year (Jan - Dec), 2021",382274,NA,0.401,4.129465733,16,7,7.5,1102,0
2021chhattisgarh,chhattisgarh,2021,India,22,"Calendar Year (Jan - Dec), 2021",NA,0.27,0.342,4.228989498,9,2,9.090909091,189,0
2021delhi,delhi,2021,India,7,"Calendar Year (Jan - Dec), 2021",948839,0.34,0.194,8.505,7,1,14.28571429,11297,256.3
2021goa,goa,2021,India,30,"Calendar Year (Jan - Dec), 2021",NA,0.27,0.18,5.39,2,1,0,394,0
2021gujarat,gujarat,2021,India,24,"Calendar Year (Jan - Dec), 2021",NA,NA,0.269,10.82,26,1,15.38461538,308,1
2021haryana,haryana,2021,India,6,"Calendar Year (Jan - Dec), 2021",527733,NA,0.2,16.81363636,5,3,0,573,52.8
2021himachal pradesh,himachal pradesh,2021,India,2,"Calendar Year (Jan - Dec), 2021",106004,0.33,0.2,8.096907185,4,1,0,123,200
2021jammu and kashmir,jammu and kashmir,2021,India,1,"Calendar Year (Jan - Dec), 2021",97335,0.24,0.256,4.55,0,2,16.66666667,124,0
2021jharkhand,jharkhand,2021,India,20,"Calendar Year (Jan - Dec), 2021",NA,0.23,0.396,5.39125,10,2,0,414,13.6
2021karnataka,karnataka,2021,India,29,"Calendar Year (Jan - Dec), 2021",213681,0.26,0.257,6.658666667,8,3,3.571428571,319,0
2021kerala,kerala,2021,India,32,"Calendar Year (Jan - Dec), 2021",1127480,0.42,0.169,6.067857143,3,6,5,859,577
2021madhya pradesh,madhya pradesh,2021,India,23,"Calendar Year (Jan - Dec), 2021",506107,0.4,0.376,7.8425,25,2,17.24137931,236,238.2
2021maharashtra,maharashtra,2021,India,27,"Calendar Year (Jan - Dec), 2021",539180,0.24,0.275,5.726865775,5,5,10.41666667,365,41.6
2021meghalaya,meghalaya,2021,India,17,"Calendar Year (Jan - Dec), 2021",NA,0.19,0.27,2.986666667,0,2,0,132,14.9
2021odisha,odisha,2021,India,21,"Calendar Year (Jan - Dec), 2021",NA,0.19,0.36,3.746666667,19,2,9.523809524,269,556.5
2021punjab,punjab,2021,India,3,"Calendar Year (Jan - Dec), 2021",NA,0.32,0.164,126.250942,1,3,7.692307692,550,62
2021rajasthan,rajasthan,2021,India,8,"Calendar Year (Jan - Dec), 2021",NA,0.29,0.34,20.0309596,25,1,4,201,65.5
2021tamil nadu,tamil nadu,2021,India,33,"Calendar Year (Jan - Dec), 2021",376781,0.23,0.237,4.196052632,36,2,10.25641026,555,50.6
2021tripura,tripura,2021,India,16,"Calendar Year (Jan - Dec), 2021",648142,0.24,0.263,2.65125,2,1,0,350,16
2021uttar pradesh,uttar pradesh,2021,India,9,"Calendar Year (Jan - Dec), 2021",17442,0.27,0.363,27.36526331,66,4,16.25,828,5
2021uttarakhand,uttarakhand,2021,India,5,"Calendar Year (Jan - Dec), 2021",NA,0.29,0.254,18.46615385,5,1,20,189,80.5
2021west bengal,west bengal,2021,India,19,"Calendar Year (Jan - Dec), 2021",1181923,NA,0.312,5.664545455,30,4,28.57142857,1029,376.6
2022meghalaya,meghalaya,2022,India,17,"Calendar Year (Jan - Dec), 2022",NA,0.19,0.27,16.43666667,0,2,0,132,NA
2022punjab,punjab,2022,India,3,"Calendar Year (Jan - Dec), 2022",NA,NA,0.164,135.0875362,1,3,7.692307692,550,NA
2022uttar pradesh,uttar pradesh,2022,India,9,"Calendar Year (Jan - Dec), 2022",NA,0.17,0.363,16.03275556,66,4,16.25,828,NA
